Invluokka,feaMed1,feaMed2,feaMed3,feaMed4,feaMed5,feaMed6,feaMed7,feaMed8,suoMod
104,41.0,87.0,240.0,157.0,110.0,94.0,0.0,3.0,0.0
241,46.0,132.0,244.0,137.0,155.0,141.0,0.0,18.0,0.0
241,43.0,113.0,242.0,142.0,132.0,114.0,0.0,8.0,0.0
104,40.0,94.0,240.0,156.0,118.0,103.0,0.0,11.0,0.0
242,43.0,137.0,244.0,135.0,157.0,148.0,0.0,22.0,0.0
104,33.0,96.0,242.0,156.0,115.0,92.0,0.0,12.0,0.0
242,37.0,140.0,245.0,134.0,158.0,141.0,0.0,21.0,0.0
101,44.0,87.0,240.0,160.0,118.0,108.0,2.0,12.0,0.0
242,47.0,149.0,242.0,136.0,149.0,167.0,1.0,43.0,0.0
263,58.0,152.0,242.0,139.0,162.0,159.0,0.0,49.0,0.0
242,46.5,156.0,245.0,136.5,170.0,162.0,62.0,22.5,0.0
242,50.0,168.0,244.0,141.0,175.0,174.0,71.5,33.0,0.0
104,34.0,110.0,236.0,145.0,112.0,129.0,0.0,11.0,0.0
241,43.0,111.0,242.0,136.0,132.0,117.0,0.0,9.0,0.0
241,42.0,109.0,243.0,137.0,131.0,115.0,0.0,9.0,0.0
232,42.0,109.0,242.0,137.0,129.0,115.0,0.0,11.0,0.0
241,48.0,102.0,242.0,139.0,133.0,117.0,0.0,8.0,0.0
232,52.0,111.0,243.0,135.0,142.0,126.0,0.0,13.0,0.0
232,49.0,105.0,241.0,136.0,133.0,120.0,0.0,7.0,0.0
241,49.0,128.5,245.0,132.0,153.0,132.5,0.0,18.0,0.0
262,44.0,133.0,242.0,140.0,152.0,131.0,0.0,29.0,0.0
232,48.0,117.0,244.0,136.0,142.0,120.0,0.0,12.0,0.0
232,48.0,109.0,241.0,139.0,129.0,118.0,0.0,1.0,0.0
261,47.0,105.0,241.0,140.0,129.0,113.0,0.0,4.0,0.0
232,45.0,103.5,241.0,145.5,126.0,128.0,2.0,7.0,0.0
232,40.0,107.5,241.0,143.0,122.0,112.0,0.0,5.5,0.0
261,49.0,109.0,238.0,138.0,133.0,116.0,0.0,10.5,0.0
271,48.0,98.0,236.0,148.0,118.0,122.0,0.0,1.0,0.0
261,49.0,111.0,241.0,136.0,134.0,122.0,0.0,15.0,0.0
261,52.0,111.0,242.0,130.0,141.0,125.0,0.0,12.0,0.0
261,41.0,102.0,240.0,148.0,120.0,111.0,0.0,3.0,0.0
261,41.0,108.0,240.0,144.0,122.0,117.0,0.0,5.0,0.0
231,41.0,106.5,241.5,142.5,125.0,111.0,0.0,6.0,0.0
231,47.0,99.0,238.0,146.0,119.0,115.0,0.0,2.0,0.0
231,46.0,104.0,239.0,143.0,125.0,114.0,0.0,10.0,0.0
231,41.0,105.0,240.0,142.0,122.0,115.0,0.0,16.0,0.0
231,41.0,104.0,241.0,144.0,126.0,111.0,0.0,9.0,0.0
232,42.0,103.0,240.5,147.0,119.5,111.0,0.0,1.5,0.0
104,37.0,102.0,237.0,151.0,106.0,134.5,0.0,8.0,0.0
232,38.0,109.0,241.0,148.0,122.0,113.0,0.0,5.0,0.0
232,50.5,100.5,236.5,148.0,118.5,119.5,0.0,3.0,0.0
104,32.0,115.0,235.0,142.0,106.0,131.0,1.0,2.0,0.0
262,42.5,119.0,242.0,133.0,137.0,126.0,0.0,7.0,0.0
262,41.0,110.0,244.0,140.0,135.0,118.0,0.0,14.0,0.0
271,44.0,108.0,243.0,138.0,133.0,120.0,0.0,5.0,0.0
263,56.0,144.0,242.0,133.0,161.5,150.0,0.0,30.5,0.0
263,55.0,137.0,243.0,133.0,158.0,144.0,0.0,21.0,0.0
241,45.0,121.0,243.0,139.0,135.5,125.0,0.0,14.0,0.0
242,46.0,128.5,243.0,131.0,145.0,141.5,0.0,4.0,0.0
241,41.0,129.0,241.5,133.5,138.0,143.0,0.0,8.0,0.0
323,46.0,137.0,243.0,132.0,149.0,146.0,0.0,15.0,0.0
242,46.0,131.0,246.0,132.0,153.5,132.0,0.0,15.0,0.0
312,45.0,158.5,239.0,136.0,155.5,169.5,36.5,21.5,0.0
333,33.0,119.0,245.0,133.0,151.0,130.0,0.0,29.0,1.0
242,40.0,142.5,245.0,127.5,163.0,147.0,0.0,16.5,0.0
242,48.0,133.5,245.0,130.0,154.0,151.0,0.0,18.0,0.0
242,44.0,146.0,245.0,132.0,162.0,152.5,0.0,27.0,0.0
430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
241,44.0,137.0,246.0,130.0,156.0,139.0,44.0,19.0,0.0
251,44.0,165.0,244.0,137.0,171.0,157.0,80.0,31.0,0.0
263,43.0,163.0,245.0,137.0,171.0,147.5,86.5,36.0,0.0
263,50.0,168.5,244.0,136.0,172.0,158.0,79.5,29.0,0.0
242,43.0,142.0,245.0,128.0,161.0,144.0,0.0,20.0,0.0
263,46.0,149.0,244.0,130.0,167.0,154.0,0.0,23.0,0.0
263,49.0,146.0,244.0,130.0,166.0,155.0,0.0,22.0,0.0
242,44.5,150.0,245.0,130.5,166.0,148.5,7.5,22.5,0.0
331,48.5,146.0,243.5,130.0,162.5,147.0,0.0,24.5,0.0
263,54.0,162.0,243.0,136.0,165.0,146.0,8.0,24.0,0.0
262,44.0,163.0,245.0,137.0,170.5,146.0,53.0,30.0,0.0
263,46.0,165.0,244.0,137.5,174.0,154.0,66.0,31.5,0.0
263,46.0,166.0,244.0,137.0,174.0,153.0,71.0,34.0,0.0
251,44.0,161.0,245.0,136.0,173.0,145.0,94.0,31.0,0.0
241,42.5,131.0,243.5,133.0,147.0,136.0,0.0,14.0,0.0
242,41.0,137.0,245.0,127.0,155.0,143.5,0.0,20.0,0.0
242,43.0,143.0,245.0,127.0,158.0,147.0,0.0,18.0,0.0
242,47.0,146.0,244.0,129.0,156.0,151.0,0.0,14.0,0.0
242,42.5,143.0,243.0,129.0,151.0,145.0,0.0,17.5,0.0
242,45.0,150.0,243.5,129.0,157.0,159.0,0.0,19.0,0.0
104,45.0,105.5,240.5,147.0,130.0,116.0,0.0,6.5,0.0
104,45.5,107.0,242.0,146.5,129.5,107.5,0.0,15.0,0.0
104,41.0,93.0,242.0,154.0,116.0,97.0,4.0,9.0,0.0
104,42.5,83.0,240.0,162.0,111.0,116.5,0.0,7.0,0.0
104,38.0,97.0,242.0,153.0,116.0,98.0,0.0,5.0,0.0
262,46.0,101.5,243.5,139.0,135.5,113.0,0.0,11.5,0.0
262,47.0,109.0,243.0,143.0,135.0,115.0,0.0,13.0,0.0
252,47.0,169.0,244.0,138.0,170.0,163.0,79.0,26.0,0.0
251,43.5,158.0,244.0,133.0,161.0,163.0,75.5,8.0,0.0
251,40.0,153.0,245.0,134.0,166.0,154.0,60.0,16.0,0.0
251,48.0,157.0,242.0,134.0,173.0,165.5,82.0,31.0,0.0
